CODE,Name,superCode,
CD,"OFFICE OF THE DIRECTOR, CENTERS FOR DISEASE CONTROL & PREVENTION",CDC,
CE,NATIONAL CENTER FOR INJURY PREVENTION AND CONTROL,CDC,https://directory.psc.gov/cdc/1457.html
CI,NATIONAL CENTER FOR INFECTIOUS DISEASES (NCID),CDC,https://www.nih.gov/institutes-nih/list-institutes-centers
CK,National Center for Emerging and Zoonotic Infectious Diseases,CDC,
DD,NATIONAL CENTER ON BIRTH DEFECTS AND DEVELOPMENTAL DISABILITIES,CDC,
DP,NATIONAL CENTER FOR CHRONIC DISEASE PREVENTION AND HEALTH PROMOTION,CDC,
EH,NATIONAL CENTER FOR ENVIRONMENTAL HEALTH,CDC,
GH,Center for Global Health,CDC,
HM,NATIONAL CENTER FOR HEALTH MARKETING,CDC,
IP,NATIONAL CENTER FOR IMMUNIZATION AND RESPIRATORY DISEASES,CDC,
JG,Global Health Center,CDC,
OH,NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH,CDC,
PS,"NATIONAL CENTER FOR HIV, VIRAL HEPATITIS, STD AND TB PREVENTION",CDC,
SH,NATIONAL CENTER FOR HEALTH STATISTICS,CDC,
SO,Public Health Surveillance Program Office (PHSPO),CDC,
TP,COORDINATING OFFICE FOR TERRORISM PREPAREDNESS AND EMERGENCY RESPONSE,CDC,
FD,FOOD AND DRUG ADMINISTRATION,FDA,
AF,Administration for Children and Families,HHS_OTHER,
HS,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,HHS_OTHER,
TS,AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,HHS_OTHER,
AA,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,NIH,
AG,NATIONAL INSTITUTE ON AGING,NIH,
AI,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,NIH,
AR,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,NIH,
AT,NATIONAL CENTER FOR COMPLEMENTARY & INTEGRATIVE HEALTH,NIH,
CA,NATIONAL CANCER INSTITUTE,NIH,
CL,CLINICAL CENTER,NIH,
CT,CENTER FOR INFORMATION TECHNOLOGY,NIH,
DA,NATIONAL INSTITUTE ON DRUG ABUSE,NIH,
DC,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,NIH,
DE,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,NIH,
DK,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,NIH,
EB,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,NIH,
ES,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,NIH,
EY,NATIONAL EYE INSTITUTE,NIH,
GM,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,NIH,
HD,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,NIH,
HG,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,NIH,
HL,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",NIH,
LM,NATIONAL LIBRARY OF MEDICINE,NIH,
MD,NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES,NIH,
MH,NATIONAL INSTITUTE OF MENTAL HEALTH,NIH,
NR,NATIONAL INSTITUTE OF NURSING RESEARCH,NIH,
NS,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,NIH,
OD,"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTH",NIH,
TR,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,NIH,
TW,FOGARTY INTERNATIONAL CENTER,NIH,
WH,WOMEN'S HEALTH INITIATIVE - OFFICE OF THE DIRECTOR NIH,NIH,
VA,VETERANS AFFAIRS,VA,